START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/05/17,01:05 PM,01:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/05/17,07/05/17,04:05 PM,04:05 PM,FALSE,TRUE,07/05/17,12:05 PM,12:05 PM,FREE,BUSY
07/07/17,07:05 PM,07:05 PM,Brewers at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/07/17,07/07/17,10:05 PM,10:05 PM,FALSE,TRUE,07/07/17,06:05 PM,06:05 PM,FREE,BUSY
07/08/17,01:05 PM,01:05 PM,Brewers at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/08/17,07/08/17,04:05 PM,04:05 PM,FALSE,TRUE,07/08/17,12:05 PM,12:05 PM,FREE,BUSY
07/09/17,01:05 PM,01:05 PM,Brewers at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/09/17,07/09/17,04:05 PM,04:05 PM,FALSE,TRUE,07/09/17,12:05 PM,12:05 PM,FREE,BUSY
07/11/17,08:00 PM,08:00 PM,AL All-Stars at NL All-Stars,Marlins Park - Miami,"",07/11/17,07/11/17,11:00 PM,11:00 PM,FALSE,TRUE,07/11/17,07:00 PM,07:00 PM,FREE,BUSY
07/14/17,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: YES",07/14/17,07/14/17,10:10 PM,10:10 PM,FALSE,TRUE,07/14/17,06:10 PM,06:10 PM,FREE,BUSY
07/15/17,04:05 PM,04:05 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: YES- FS1",07/15/17,07/15/17,07:05 PM,07:05 PM,FALSE,TRUE,07/15/17,03:05 PM,03:05 PM,FREE,BUSY
07/16/17,08:05 PM,08:05 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: ESPN",07/16/17,07/16/17,11:05 PM,11:05 PM,FALSE,TRUE,07/16/17,07:05 PM,07:05 PM,FREE,BUSY
07/17/17,08:10 PM,08:10 PM,Yankees at Twins,Target Field - Minneapolis,"Local TV: YES",07/17/17,07/17/17,11:10 PM,11:10 PM,FALSE,TRUE,07/17/17,07:10 PM,07:10 PM,FREE,BUSY
07/18/17,08:10 PM,08:10 PM,Yankees at Twins,Target Field - Minneapolis,"Local TV: WPIX",07/18/17,07/18/17,11:10 PM,11:10 PM,FALSE,TRUE,07/18/17,07:10 PM,07:10 PM,FREE,BUSY
07/19/17,01:10 PM,01:10 PM,Yankees at Twins,Target Field - Minneapolis,"Local TV: YES",07/19/17,07/19/17,04:10 PM,04:10 PM,FALSE,TRUE,07/19/17,12:10 PM,12:10 PM,FREE,BUSY
07/20/17,10:10 PM,10:10 PM,Yankees at Mariners,Safeco Field - Seattle,"Local TV: YES",07/21/17,07/21/17,01:10 AM,01:10 AM,FALSE,TRUE,07/20/17,09:10 PM,09:10 PM,FREE,BUSY
07/21/17,10:10 PM,10:10 PM,Yankees at Mariners,Safeco Field - Seattle,"Local TV: YES",07/22/17,07/22/17,01:10 AM,01:10 AM,FALSE,TRUE,07/21/17,09:10 PM,09:10 PM,FREE,BUSY
07/22/17,09:10 PM,09:10 PM,Yankees at Mariners,Safeco Field - Seattle,"Local TV: YES",07/23/17,07/23/17,12:10 AM,12:10 AM,FALSE,TRUE,07/22/17,08:10 PM,08:10 PM,FREE,BUSY
07/23/17,04:10 PM,04:10 PM,Yankees at Mariners,Safeco Field - Seattle,"Local TV: YES",07/23/17,07/23/17,07:10 PM,07:10 PM,FALSE,TRUE,07/23/17,03:10 PM,03:10 PM,FREE,BUSY
07/25/17,07:05 PM,07:05 PM,Reds at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",07/25/17,07/25/17,10:05 PM,10:05 PM,FALSE,TRUE,07/25/17,06:05 PM,06:05 PM,FREE,BUSY
07/26/17,01:05 PM,01:05 PM,Reds at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/26/17,07/26/17,04:05 PM,04:05 PM,FALSE,TRUE,07/26/17,12:05 PM,12:05 PM,FREE,BUSY
07/27/17,07:05 PM,07:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/27/17,07/27/17,10:05 PM,10:05 PM,FALSE,TRUE,07/27/17,06:05 PM,06:05 PM,FREE,BUSY
07/28/17,07:05 PM,07:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/28/17,07/28/17,10:05 PM,10:05 PM,FALSE,TRUE,07/28/17,06:05 PM,06:05 PM,FREE,BUSY
07/29/17,01:05 PM,01:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",07/29/17,07/29/17,04:05 PM,04:05 PM,FALSE,TRUE,07/29/17,12:05 PM,12:05 PM,FREE,BUSY
07/30/17,01:05 PM,01:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/30/17,07/30/17,04:05 PM,04:05 PM,FALSE,TRUE,07/30/17,12:05 PM,12:05 PM,FREE,BUSY
07/31/17,07:05 PM,07:05 PM,Tigers at Yankees,Yankee Stadium - Bronx,"Local TV: YES",07/31/17,07/31/17,10:05 PM,10:05 PM,FALSE,TRUE,07/31/17,06:05 PM,06:05 PM,FREE,BUSY
08/01/17,07:05 PM,07:05 PM,Tigers at Yankees,Yankee Stadium - Bronx,"Local TV: YES",08/01/17,08/01/17,10:05 PM,10:05 PM,FALSE,TRUE,08/01/17,06:05 PM,06:05 PM,FREE,BUSY
08/02/17,01:05 PM,01:05 PM,Tigers at Yankees,Yankee Stadium - Bronx,"Local TV: YES",08/02/17,08/02/17,04:05 PM,04:05 PM,FALSE,TRUE,08/02/17,12:05 PM,12:05 PM,FREE,BUSY
08/03/17,07:10 PM,07:10 PM,Yankees at Indians,Progressive Field - Cleveland,"Local TV: YES",08/03/17,08/03/17,10:10 PM,10:10 PM,FALSE,TRUE,08/03/17,06:10 PM,06:10 PM,FREE,BUSY
08/04/17,07:10 PM,07:10 PM,Yankees at Indians,Progressive Field - Cleveland,"Local TV: YES",08/04/17,08/04/17,10:10 PM,10:10 PM,FALSE,TRUE,08/04/17,06:10 PM,06:10 PM,FREE,BUSY
08/05/17,07:10 PM,07:10 PM,Yankees at Indians,Progressive Field - Cleveland,"Local TV: YES",08/05/17,08/05/17,10:10 PM,10:10 PM,FALSE,TRUE,08/05/17,06:10 PM,06:10 PM,FREE,BUSY
08/06/17,01:10 PM,01:10 PM,Yankees at Indians,Progressive Field - Cleveland,"",08/06/17,08/06/17,04:10 PM,04:10 PM,FALSE,TRUE,08/06/17,12:10 PM,12:10 PM,FREE,BUSY
08/08/17,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES",08/08/17,08/08/17,10:07 PM,10:07 PM,FALSE,TRUE,08/08/17,06:07 PM,06:07 PM,FREE,BUSY
08/09/17,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES",08/09/17,08/09/17,10:07 PM,10:07 PM,FALSE,TRUE,08/09/17,06:07 PM,06:07 PM,FREE,BUSY
08/10/17,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES",08/10/17,08/10/17,10:07 PM,10:07 PM,FALSE,TRUE,08/10/17,06:07 PM,06:07 PM,FREE,BUSY
08/11/17,07:05 PM,07:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: YES",08/11/17,08/11/17,10:05 PM,10:05 PM,FALSE,TRUE,08/11/17,06:05 PM,06:05 PM,FREE,BUSY
08/12/17,04:05 PM,04:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: YES- FS1",08/12/17,08/12/17,07:05 PM,07:05 PM,FALSE,TRUE,08/12/17,03:05 PM,03:05 PM,FREE,BUSY
08/13/17,01:05 PM,01:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"",08/13/17,08/13/17,04:05 PM,04:05 PM,FALSE,TRUE,08/13/17,12:05 PM,12:05 PM,FREE,BUSY
08/14/17,07:05 PM,07:05 PM,Mets at Yankees,Yankee Stadium - Bronx,"Local TV: YES",08/14/17,08/14/17,10:05 PM,10:05 PM,FALSE,TRUE,08/14/17,06:05 PM,06:05 PM,FREE,BUSY
08/15/17,07:05 PM,07:05 PM,Mets at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",08/15/17,08/15/17,10:05 PM,10:05 PM,FALSE,TRUE,08/15/17,06:05 PM,06:05 PM,FREE,BUSY
08/16/17,07:10 PM,07:10 PM,Yankees at Mets,Citi Field - Flushing,"Local TV: YES",08/16/17,08/16/17,10:10 PM,10:10 PM,FALSE,TRUE,08/16/17,06:10 PM,06:10 PM,FREE,BUSY
08/17/17,07:10 PM,07:10 PM,Yankees at Mets,Citi Field - Flushing,"Local TV: YES",08/17/17,08/17/17,10:10 PM,10:10 PM,FALSE,TRUE,08/17/17,06:10 PM,06:10 PM,FREE,BUSY
08/18/17,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: YES",08/18/17,08/18/17,10:10 PM,10:10 PM,FALSE,TRUE,08/18/17,06:10 PM,06:10 PM,FREE,BUSY
08/19/17,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: YES",08/19/17,08/19/17,10:10 PM,10:10 PM,FALSE,TRUE,08/19/17,06:10 PM,06:10 PM,FREE,BUSY
08/20/17,,,Yankees at Red Sox - Time TBD,Fenway Park - Boston,"",08/20/17,08/20/17,,,FALSE,TRUE,08/20/17,,,FREE,BUSY
08/22/17,07:10 PM,07:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: YES",08/22/17,08/22/17,10:10 PM,10:10 PM,FALSE,TRUE,08/22/17,06:10 PM,06:10 PM,FREE,BUSY
08/23/17,07:10 PM,07:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: WPIX",08/23/17,08/23/17,10:10 PM,10:10 PM,FALSE,TRUE,08/23/17,06:10 PM,06:10 PM,FREE,BUSY
08/24/17,01:10 PM,01:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: YES",08/24/17,08/24/17,04:10 PM,04:10 PM,FALSE,TRUE,08/24/17,12:10 PM,12:10 PM,FREE,BUSY
08/25/17,07:05 PM,07:05 PM,Mariners at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",08/25/17,08/25/17,10:05 PM,10:05 PM,FALSE,TRUE,08/25/17,06:05 PM,06:05 PM,FREE,BUSY
08/26/17,01:05 PM,01:05 PM,Mariners at Yankees,Yankee Stadium - Bronx,"Local TV: YES",08/26/17,08/26/17,04:05 PM,04:05 PM,FALSE,TRUE,08/26/17,12:05 PM,12:05 PM,FREE,BUSY
08/27/17,01:05 PM,01:05 PM,Mariners at Yankees,Yankee Stadium - Bronx,"Local TV: YES",08/27/17,08/27/17,04:05 PM,04:05 PM,FALSE,TRUE,08/27/17,12:05 PM,12:05 PM,FREE,BUSY
08/28/17,07:05 PM,07:05 PM,Indians at Yankees,Yankee Stadium - Bronx,"Local TV: YES",08/28/17,08/28/17,10:05 PM,10:05 PM,FALSE,TRUE,08/28/17,06:05 PM,06:05 PM,FREE,BUSY
08/29/17,07:05 PM,07:05 PM,Indians at Yankees,Yankee Stadium - Bronx,"Local TV: YES",08/29/17,08/29/17,10:05 PM,10:05 PM,FALSE,TRUE,08/29/17,06:05 PM,06:05 PM,FREE,BUSY
08/30/17,01:05 PM,01:05 PM,Indians at Yankees,Yankee Stadium - Bronx,"Local TV: YES",08/30/17,08/30/17,04:05 PM,04:05 PM,FALSE,TRUE,08/30/17,12:05 PM,12:05 PM,FREE,BUSY
08/31/17,07:05 PM,07:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",08/31/17,08/31/17,10:05 PM,10:05 PM,FALSE,TRUE,08/31/17,06:05 PM,06:05 PM,FREE,BUSY
09/01/17,07:05 PM,07:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/01/17,09/01/17,10:05 PM,10:05 PM,FALSE,TRUE,09/01/17,06:05 PM,06:05 PM,FREE,BUSY
09/02/17,01:05 PM,01:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/02/17,09/02/17,04:05 PM,04:05 PM,FALSE,TRUE,09/02/17,12:05 PM,12:05 PM,FREE,BUSY
09/03/17,01:05 PM,01:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"",09/03/17,09/03/17,04:05 PM,04:05 PM,FALSE,TRUE,09/03/17,12:05 PM,12:05 PM,FREE,BUSY
09/04/17,01:35 PM,01:35 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES",09/04/17,09/04/17,04:35 PM,04:35 PM,FALSE,TRUE,09/04/17,12:35 PM,12:35 PM,FREE,BUSY
09/05/17,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES",09/05/17,09/05/17,10:05 PM,10:05 PM,FALSE,TRUE,09/05/17,06:05 PM,06:05 PM,FREE,BUSY
09/06/17,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES",09/06/17,09/06/17,10:05 PM,10:05 PM,FALSE,TRUE,09/06/17,06:05 PM,06:05 PM,FREE,BUSY
09/08/17,08:05 PM,08:05 PM,Yankees at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: YES",09/08/17,09/08/17,11:05 PM,11:05 PM,FALSE,TRUE,09/08/17,07:05 PM,07:05 PM,FREE,BUSY
09/09/17,08:05 PM,08:05 PM,Yankees at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: YES",09/09/17,09/09/17,11:05 PM,11:05 PM,FALSE,TRUE,09/09/17,07:05 PM,07:05 PM,FREE,BUSY
09/10/17,03:05 PM,03:05 PM,Yankees at Rangers,Globe Life Park in Arlington - Arlington,"",09/10/17,09/10/17,06:05 PM,06:05 PM,FALSE,TRUE,09/10/17,02:05 PM,02:05 PM,FREE,BUSY
09/11/17,07:10 PM,07:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: YES",09/11/17,09/11/17,10:10 PM,10:10 PM,FALSE,TRUE,09/11/17,06:10 PM,06:10 PM,FREE,BUSY
09/12/17,07:10 PM,07:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: YES",09/12/17,09/12/17,10:10 PM,10:10 PM,FALSE,TRUE,09/12/17,06:10 PM,06:10 PM,FREE,BUSY
09/13/17,07:10 PM,07:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: YES",09/13/17,09/13/17,10:10 PM,10:10 PM,FALSE,TRUE,09/13/17,06:10 PM,06:10 PM,FREE,BUSY
09/14/17,07:05 PM,07:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/14/17,09/14/17,10:05 PM,10:05 PM,FALSE,TRUE,09/14/17,06:05 PM,06:05 PM,FREE,BUSY
09/15/17,07:05 PM,07:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",09/15/17,09/15/17,10:05 PM,10:05 PM,FALSE,TRUE,09/15/17,06:05 PM,06:05 PM,FREE,BUSY
09/16/17,04:05 PM,04:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/16/17,09/16/17,07:05 PM,07:05 PM,FALSE,TRUE,09/16/17,03:05 PM,03:05 PM,FREE,BUSY
09/17/17,01:05 PM,01:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/17/17,09/17/17,04:05 PM,04:05 PM,FALSE,TRUE,09/17/17,12:05 PM,12:05 PM,FREE,BUSY
09/18/17,07:05 PM,07:05 PM,Twins at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/18/17,09/18/17,10:05 PM,10:05 PM,FALSE,TRUE,09/18/17,06:05 PM,06:05 PM,FREE,BUSY
09/19/17,07:05 PM,07:05 PM,Twins at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/19/17,09/19/17,10:05 PM,10:05 PM,FALSE,TRUE,09/19/17,06:05 PM,06:05 PM,FREE,BUSY
09/20/17,01:05 PM,01:05 PM,Twins at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/20/17,09/20/17,04:05 PM,04:05 PM,FALSE,TRUE,09/20/17,12:05 PM,12:05 PM,FREE,BUSY
09/22/17,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES",09/22/17,09/22/17,10:07 PM,10:07 PM,FALSE,TRUE,09/22/17,06:07 PM,06:07 PM,FREE,BUSY
09/23/17,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES",09/23/17,09/23/17,04:07 PM,04:07 PM,FALSE,TRUE,09/23/17,12:07 PM,12:07 PM,FREE,BUSY
09/24/17,01:07 PM,01:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES",09/24/17,09/24/17,04:07 PM,04:07 PM,FALSE,TRUE,09/24/17,12:07 PM,12:07 PM,FREE,BUSY
09/26/17,07:05 PM,07:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/26/17,09/26/17,10:05 PM,10:05 PM,FALSE,TRUE,09/26/17,06:05 PM,06:05 PM,FREE,BUSY
09/27/17,07:05 PM,07:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",09/27/17,09/27/17,10:05 PM,10:05 PM,FALSE,TRUE,09/27/17,06:05 PM,06:05 PM,FREE,BUSY
09/28/17,07:05 PM,07:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/28/17,09/28/17,10:05 PM,10:05 PM,FALSE,TRUE,09/28/17,06:05 PM,06:05 PM,FREE,BUSY
09/29/17,01:05 PM,01:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/29/17,09/29/17,04:05 PM,04:05 PM,FALSE,TRUE,09/29/17,12:05 PM,12:05 PM,FREE,BUSY
09/30/17,04:05 PM,04:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",09/30/17,09/30/17,07:05 PM,07:05 PM,FALSE,TRUE,09/30/17,03:05 PM,03:05 PM,FREE,BUSY
10/01/17,03:05 PM,03:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",10/01/17,10/01/17,06:05 PM,06:05 PM,FALSE,TRUE,10/01/17,02:05 PM,02:05 PM,FREE,BUSY
