START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/29/17,01:07 PM,01:07 PM,Yankees at Blue Jays,Florida Auto Exchange Stadium - Dunedin,"",03/29/17,03/29/17,04:07 PM,04:07 PM,FALSE,TRUE,03/29/17,12:07 PM,12:07 PM,FREE,BUSY
03/30/17,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,"",03/30/17,03/30/17,04:05 PM,04:05 PM,FALSE,TRUE,03/30/17,12:05 PM,12:05 PM,FREE,BUSY
03/31/17,07:35 PM,07:35 PM,Yankees at Braves,SunTrust Park - Atlanta,"Local TV: YES- MLBN (out-of-market only)",03/31/17,03/31/17,10:35 PM,10:35 PM,FALSE,TRUE,03/31/17,06:35 PM,06:35 PM,FREE,BUSY
04/02/17,01:10 PM,01:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: YES- ESPN",04/02/17,04/02/17,04:10 PM,04:10 PM,FALSE,TRUE,04/02/17,12:10 PM,12:10 PM,FREE,BUSY
04/04/17,07:10 PM,07:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"Local TV: YES",04/04/17,04/04/17,10:10 PM,10:10 PM,FALSE,TRUE,04/04/17,06:10 PM,06:10 PM,FREE,BUSY
04/05/17,07:10 PM,07:10 PM,Yankees at Rays,Tropicana Field - St. Petersburg,"",04/05/17,04/05/17,10:10 PM,10:10 PM,FALSE,TRUE,04/05/17,06:10 PM,06:10 PM,FREE,BUSY
04/07/17,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES",04/07/17,04/07/17,10:05 PM,10:05 PM,FALSE,TRUE,04/07/17,06:05 PM,06:05 PM,FREE,BUSY
04/08/17,04:05 PM,04:05 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES- FS1",04/08/17,04/08/17,07:05 PM,07:05 PM,FALSE,TRUE,04/08/17,03:05 PM,03:05 PM,FREE,BUSY
04/09/17,01:35 PM,01:35 PM,Yankees at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: YES",04/09/17,04/09/17,04:35 PM,04:35 PM,FALSE,TRUE,04/09/17,12:35 PM,12:35 PM,FREE,BUSY
04/10/17,01:05 PM,01:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",04/10/17,04/10/17,04:05 PM,04:05 PM,FALSE,TRUE,04/10/17,12:05 PM,12:05 PM,FREE,BUSY
04/12/17,01:05 PM,01:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",04/12/17,04/12/17,04:05 PM,04:05 PM,FALSE,TRUE,04/12/17,12:05 PM,12:05 PM,FREE,BUSY
04/13/17,07:05 PM,07:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",04/13/17,04/13/17,10:05 PM,10:05 PM,FALSE,TRUE,04/13/17,06:05 PM,06:05 PM,FREE,BUSY
04/14/17,07:05 PM,07:05 PM,Cardinals at Yankees,Yankee Stadium - Bronx,"Local TV: YES",04/14/17,04/14/17,10:05 PM,10:05 PM,FALSE,TRUE,04/14/17,06:05 PM,06:05 PM,FREE,BUSY
04/15/17,01:05 PM,01:05 PM,Cardinals at Yankees,Yankee Stadium - Bronx,"Local TV: YES",04/15/17,04/15/17,04:05 PM,04:05 PM,FALSE,TRUE,04/15/17,12:05 PM,12:05 PM,FREE,BUSY
04/16/17,08:05 PM,08:05 PM,Cardinals at Yankees,Yankee Stadium - Bronx,"Local TV: ESPN",04/16/17,04/16/17,11:05 PM,11:05 PM,FALSE,TRUE,04/16/17,07:05 PM,07:05 PM,FREE,BUSY
04/17/17,07:05 PM,07:05 PM,White Sox at Yankees,Yankee Stadium - Bronx,"Local TV: YES",04/17/17,04/17/17,10:05 PM,10:05 PM,FALSE,TRUE,04/17/17,06:05 PM,06:05 PM,FREE,BUSY
04/18/17,07:05 PM,07:05 PM,White Sox at Yankees,Yankee Stadium - Bronx,"Local TV: YES",04/18/17,04/18/17,10:05 PM,10:05 PM,FALSE,TRUE,04/18/17,06:05 PM,06:05 PM,FREE,BUSY
04/19/17,07:05 PM,07:05 PM,White Sox at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",04/19/17,04/19/17,10:05 PM,10:05 PM,FALSE,TRUE,04/19/17,06:05 PM,06:05 PM,FREE,BUSY
04/21/17,07:05 PM,07:05 PM,Yankees at Pirates,PNC Park - Pittsburgh,"Local TV: YES",04/21/17,04/21/17,10:05 PM,10:05 PM,FALSE,TRUE,04/21/17,06:05 PM,06:05 PM,FREE,BUSY
04/22/17,04:05 PM,04:05 PM,Yankees at Pirates,PNC Park - Pittsburgh,"Local TV: YES",04/22/17,04/22/17,07:05 PM,07:05 PM,FALSE,TRUE,04/22/17,03:05 PM,03:05 PM,FREE,BUSY
04/23/17,01:35 PM,01:35 PM,Yankees at Pirates,PNC Park - Pittsburgh,"Local TV: YES",04/23/17,04/23/17,04:35 PM,04:35 PM,FALSE,TRUE,04/23/17,12:35 PM,12:35 PM,FREE,BUSY
04/25/17,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: YES",04/25/17,04/25/17,10:10 PM,10:10 PM,FALSE,TRUE,04/25/17,06:10 PM,06:10 PM,FREE,BUSY
04/26/17,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: YES",04/26/17,04/26/17,10:10 PM,10:10 PM,FALSE,TRUE,04/26/17,06:10 PM,06:10 PM,FREE,BUSY
04/27/17,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: YES",04/27/17,04/27/17,10:10 PM,10:10 PM,FALSE,TRUE,04/27/17,06:10 PM,06:10 PM,FREE,BUSY
04/28/17,07:05 PM,07:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: YES",04/28/17,04/28/17,10:05 PM,10:05 PM,FALSE,TRUE,04/28/17,06:05 PM,06:05 PM,FREE,BUSY
04/29/17,01:05 PM,01:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: YES",04/29/17,04/29/17,04:05 PM,04:05 PM,FALSE,TRUE,04/29/17,12:05 PM,12:05 PM,FREE,BUSY
04/30/17,01:05 PM,01:05 PM,Orioles at Yankees,Yankee Stadium - Bronx,"Local TV: YES",04/30/17,04/30/17,04:05 PM,04:05 PM,FALSE,TRUE,04/30/17,12:05 PM,12:05 PM,FREE,BUSY
05/01/17,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/01/17,05/01/17,10:05 PM,10:05 PM,FALSE,TRUE,05/01/17,06:05 PM,06:05 PM,FREE,BUSY
05/02/17,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/02/17,05/02/17,10:05 PM,10:05 PM,FALSE,TRUE,05/02/17,06:05 PM,06:05 PM,FREE,BUSY
05/03/17,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/03/17,05/03/17,10:05 PM,10:05 PM,FALSE,TRUE,05/03/17,06:05 PM,06:05 PM,FREE,BUSY
05/05/17,02:20 PM,02:20 PM,Yankees at Cubs,Wrigley Field - Chicago,"Local TV: YES",05/05/17,05/05/17,05:20 PM,05:20 PM,FALSE,TRUE,05/05/17,01:20 PM,01:20 PM,FREE,BUSY
05/06/17,07:15 PM,07:15 PM,Yankees at Cubs,Wrigley Field - Chicago,"Local TV: FOX",05/06/17,05/06/17,10:15 PM,10:15 PM,FALSE,TRUE,05/06/17,06:15 PM,06:15 PM,FREE,BUSY
05/07/17,08:05 PM,08:05 PM,Yankees at Cubs,Wrigley Field - Chicago,"Local TV: ESPN",05/07/17,05/07/17,11:05 PM,11:05 PM,FALSE,TRUE,05/07/17,07:05 PM,07:05 PM,FREE,BUSY
05/08/17,07:10 PM,07:10 PM,Yankees at Reds,Great American Ball Park - Cincinnati,"Local TV: YES",05/08/17,05/08/17,10:10 PM,10:10 PM,FALSE,TRUE,05/08/17,06:10 PM,06:10 PM,FREE,BUSY
05/09/17,07:10 PM,07:10 PM,Yankees at Reds,Great American Ball Park - Cincinnati,"",05/09/17,05/09/17,10:10 PM,10:10 PM,FALSE,TRUE,05/09/17,06:10 PM,06:10 PM,FREE,BUSY
05/11/17,07:05 PM,07:05 PM,Astros at Yankees,Yankee Stadium - Bronx,"Local TV: YES",05/11/17,05/11/17,10:05 PM,10:05 PM,FALSE,TRUE,05/11/17,06:05 PM,06:05 PM,FREE,BUSY
05/12/17,07:05 PM,07:05 PM,Astros at Yankees,Yankee Stadium - Bronx,"Local TV: WPIX",05/12/17,05/12/17,10:05 PM,10:05 PM,FALSE,TRUE,05/12/17,06:05 PM,06:05 PM,FREE,BUSY
